,category,skill,type,count
154,IS,Distributed Denial-Of-Service (DDoS) Attacks,hard_skill,10
155,IS,GIAC Security Essentials Certification (GSEC),hard_skill,12
156,IS,TCP/IP,hard_skill,48
157,IS,GIAC Certified Incident Handler,hard_skill,18
158,IS,Triage,hard_skill,21
159,IS,Cyber Kill Chain Framework,hard_skill,9
160,IS,Dynamic Host Configuration Protocol (DHCP),hard_skill,19
161,IS,Banking Services,hard_skill,12
162,IS,GIAC Certified Intrusion Analyst,hard_skill,11
163,IS,Automation,hard_skill,86
164,IS,Customer Service,hard_skill,51
165,IS,Proactivity,hard_skill,5
166,IS,Cyber Security Assessment,hard_skill,16
167,IS,GIAC Global Industrial Cyber Security Professional,hard_skill,1
168,IS,Technical Training,hard_skill,4
169,IS,Cyber Security Systems,hard_skill,7
170,IS,Supply Chain,hard_skill,8
171,IS,Industrial Control Systems,hard_skill,3
172,IS,Data Acquisition,hard_skill,4
173,IS,Demonstration Skills,hard_skill,4
174,IS,Supervisory Control And Data Acquisition (SCADA),hard_skill,15
175,IS,Infrastructure Security,hard_skill,30
176,IS,Curiosity,hard_skill,27
177,IS,Business Continuity Planning,hard_skill,8
178,IS,Interpersonal Communications,hard_skill,59
179,IS,Creativity,hard_skill,29
180,IS,Sustainable Business,hard_skill,8
181,IS,Network Infrastructure,hard_skill,55
182,IS,Security Systems,hard_skill,34
183,IS,Cyber Security Management,hard_skill,12
184,IS,Public Cloud,hard_skill,20
185,IS,Cooperation,hard_skill,8
186,IS,Leadership,hard_skill,74
187,IS,NIST Cybersecurity Framework (CSF),hard_skill,20
188,IS,Positivity,hard_skill,13
189,IS,Coordinating,hard_skill,23
190,IS,Mitigation,hard_skill,50
191,IS,Unix,hard_skill,6
192,IS,Certified Ethical Hacker,hard_skill,30
193,IS,Digital Assets,hard_skill,9
194,IS,Splunk,hard_skill,25
195,IS,Security Investigations,hard_skill,8
196,IS,Writing,hard_skill,64
197,IS,ITIL Certifications,hard_skill,2
198,IS,Business Continuity,hard_skill,12
199,IS,Gap Analysis,hard_skill,3
200,IS,Digital Banking,hard_skill,3
201,IS,Due Diligence,hard_skill,9
202,IS,Cyber Risk,hard_skill,36
203,IS,Business Process,hard_skill,19
204,IS,Certified Financial Risk Management,hard_skill,1
205,IS,Banking,hard_skill,11
206,IS,Operational Risk Management,hard_skill,4
207,IS,Emerging Risk,hard_skill,5
208,IS,Object-Relational Mapping,hard_skill,2
209,IS,Financial Services,hard_skill,36
210,IS,Outsourcing,hard_skill,4
211,IS,Regulatory Requirements,hard_skill,4
212,IS,Templates,hard_skill,7
213,IS,New Product Development,hard_skill,9
214,IS,Application Programming Interface (API),hard_skill,19
215,IS,Mobile Application Development,hard_skill,9
216,IS,Container Security,hard_skill,3
217,IS,Security Controls,hard_skill,48
218,IS,Solution Architecture,hard_skill,13
219,IS,RESTful API,hard_skill,9
220,IS,Web Application Security,hard_skill,4
221,IS,Threat Modeling,hard_skill,34
222,IS,Code Review,hard_skill,15
223,IS,Secure Coding,hard_skill,5
224,IS,Design Reviews,hard_skill,4
225,IS,Access Controls,hard_skill,24
226,IS,Mentorship,hard_skill,18
227,IS,Debugging,hard_skill,16
228,IS,Nginx,hard_skill,5
229,IS,Perl (Programming Language),hard_skill,11
230,IS,Shell Script,hard_skill,8
231,IS,PHP (Scripting Language),hard_skill,7
232,IS,Application Firewall,hard_skill,13
233,IS,Java (Programming Language),hard_skill,32
234,IS,Web Servers,hard_skill,7
235,IS,Software Engineering,hard_skill,23
236,IS,Internet Protocols Suite,hard_skill,9
